date,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,ozone,temp,humidity,wind_speed,aqi_pm25,aqi_pm10,aqi,month,day,day_of_week,pm2_5_lag_1d,pm2_5_lag_2d,aqi_lag_1d
2024-01-03,40.72,64.11,28.08,21.95,677.54,96.58,20.75,55.04,10.48,114.0,56.0,114.0,1.0,3.0,2.0,40.39,38.56,113.0
2024-01-04,38.77,61.87,16.5,15.97,495.83,106.29,19.9,45.0,17.06,109.0,54.0,109.0,1.0,4.0,3.0,40.72,40.39,114.0
2024-01-05,53.94,90.04,21.82,19.75,642.0,100.96,19.31,52.29,12.22,146.0,68.0,146.0,1.0,5.0,4.0,38.77,40.72,109.0
2024-01-06,47.54,76.74,14.2,18.46,633.21,106.88,19.72,53.12,19.18,131.0,62.0,131.0,1.0,6.0,5.0,53.94,38.77,146.0
2024-01-07,43.48,66.77,12.95,20.59,692.12,111.21,19.15,51.71,18.29,121.0,57.0,121.0,1.0,7.0,6.0,47.54,53.94,131.0
2024-01-08,44.36,67.23,28.92,22.26,914.12,104.38,19.18,55.08,12.01,123.0,57.0,123.0,1.0,8.0,0.0,43.48,47.54,121.0
2024-01-09,37.12,58.91,13.8,16.68,622.96,103.38,18.99,48.33,18.76,105.0,53.0,105.0,1.0,9.0,1.0,44.36,43.48,123.0
2024-01-10,37.12,56.47,18.86,19.7,656.5,101.83,18.26,45.71,14.03,105.0,52.0,105.0,1.0,10.0,2.0,37.12,44.36,105.0
2024-01-11,33.21,50.49,36.54,22.67,842.88,74.88,17.83,50.04,9.18,95.0,47.0,95.0,1.0,11.0,3.0,37.12,37.12,105.0
2024-01-12,37.01,55.14,54.25,27.95,866.38,59.42,18.42,49.96,9.14,105.0,51.0,105.0,1.0,12.0,4.0,33.21,37.12,95.0
2024-01-13,34.01,53.77,49.01,13.92,840.04,52.62,18.43,76.12,9.43,97.0,50.0,97.0,1.0,13.0,5.0,37.01,33.21,105.0
2024-01-14,29.63,60.12,41.17,14.54,662.88,71.71,20.47,79.62,8.04,88.0,54.0,88.0,1.0,14.0,6.0,34.01,37.01,97.0
2024-01-15,54.85,99.8,35.49,18.89,819.88,80.83,19.54,71.71,9.66,149.0,73.0,149.0,1.0,15.0,0.0,29.63,34.01,88.0
2024-01-16,25.31,67.37,28.73,7.27,438.42,66.42,22.2,78.17,12.27,79.0,57.0,79.0,1.0,16.0,1.0,54.85,29.63,149.0
2024-01-17,46.78,88.85,31.68,20.24,687.29,80.17,22.08,57.96,13.95,129.0,68.0,129.0,1.0,17.0,2.0,25.31,54.85,79.0
2024-01-18,61.12,96.7,26.12,25.98,871.42,111.96,20.62,51.71,11.89,154.0,72.0,154.0,1.0,18.0,3.0,46.78,25.31,129.0
2024-01-19,54.07,86.82,46.93,30.67,1053.54,100.71,20.06,48.92,10.35,147.0,67.0,147.0,1.0,19.0,4.0,61.12,46.78,154.0
2024-01-20,55.86,93.49,49.95,22.88,1182.25,89.0,20.42,78.04,8.49,151.0,70.0,151.0,1.0,20.0,5.0,54.07,61.12,147.0
2024-01-21,50.72,86.92,53.51,24.52,1013.38,80.42,21.13,62.38,10.5,138.0,67.0,138.0,1.0,21.0,6.0,55.86,54.07,151.0
2024-01-22,52.31,90.92,48.75,20.53,1023.21,79.71,20.18,66.33,9.55,142.0,69.0,142.0,1.0,22.0,0.0,50.72,55.86,138.0
2024-01-23,42.88,80.89,34.48,16.95,659.17,79.79,20.6,68.62,10.06,119.0,64.0,119.0,1.0,23.0,1.0,52.31,50.72,142.0
2024-01-24,54.45,98.59,35.0,27.28,828.96,88.71,18.76,59.92,9.54,148.0,73.0,148.0,1.0,24.0,2.0,42.88,52.31,119.0
2024-01-25,59.6,105.92,47.52,23.09,1041.5,71.5,19.13,70.04,9.88,153.0,76.0,153.0,1.0,25.0,3.0,54.45,42.88,148.0
2024-01-26,54.82,92.44,34.84,21.04,804.54,88.04,20.22,60.21,13.2,149.0,70.0,149.0,1.0,26.0,4.0,59.6,54.45,153.0
2024-01-27,60.23,96.16,26.64,21.71,869.21,109.46,20.5,50.29,15.04,153.0,71.0,153.0,1.0,27.0,5.0,54.82,59.6,149.0
2024-01-28,54.33,90.81,21.52,19.78,823.0,100.29,19.41,65.88,11.18,147.0,69.0,147.0,1.0,28.0,6.0,60.23,54.82,153.0
2024-01-29,23.88,50.06,18.9,5.96,357.04,75.83,22.78,75.54,12.65,76.0,46.0,76.0,1.0,29.0,0.0,54.33,60.23,147.0
2024-01-30,24.22,74.54,24.12,7.26,375.12,63.38,22.12,80.96,8.87,76.0,61.0,76.0,1.0,30.0,1.0,23.88,54.33,76.0
2024-01-31,22.5,61.41,20.55,6.3,344.62,71.12,22.72,79.58,12.11,73.0,54.0,73.0,1.0,31.0,2.0,24.22,23.88,76.0
2024-02-01,27.92,87.57,22.7,9.95,384.08,78.29,22.87,62.92,10.88,84.0,67.0,84.0,2.0,1.0,3.0,22.5,24.22,73.0
2024-02-02,40.77,134.67,27.67,11.32,409.92,59.79,23.18,73.25,6.35,114.0,90.0,114.0,2.0,2.0,4.0,27.92,22.5,84.0
2024-02-03,35.24,91.79,32.36,10.67,519.0,46.29,21.85,76.33,17.53,100.0,69.0,100.0,2.0,3.0,5.0,40.77,27.92,114.0
2024-02-04,24.11,79.16,20.28,5.21,321.17,71.0,22.84,79.54,12.99,76.0,63.0,76.0,2.0,4.0,6.0,35.24,40.77,100.0
2024-02-05,26.34,48.83,27.38,11.32,481.38,79.0,21.41,77.38,11.12,81.0,45.0,81.0,2.0,5.0,0.0,24.11,35.24,76.0
2024-02-06,24.36,53.72,26.5,10.25,451.08,84.08,21.5,73.0,10.45,77.0,50.0,77.0,2.0,6.0,1.0,26.34,24.11,81.0
2024-02-07,31.97,68.64,21.11,11.82,445.54,79.38,22.52,60.33,12.65,93.0,58.0,93.0,2.0,7.0,2.0,24.36,26.34,77.0
2024-02-08,28.35,52.65,24.01,13.42,482.04,89.92,20.75,44.17,15.01,85.0,49.0,85.0,2.0,8.0,3.0,31.97,24.36,93.0
2024-02-09,26.86,53.35,32.55,11.87,575.83,74.96,19.39,55.21,10.5,82.0,49.0,82.0,2.0,9.0,4.0,28.35,31.97,85.0
2024-02-10,25.3,53.36,30.27,11.03,496.79,85.04,21.3,66.5,10.93,79.0,49.0,79.0,2.0,10.0,5.0,26.86,28.35,82.0
2024-02-11,25.73,44.95,27.98,13.35,483.96,88.21,21.38,41.04,10.8,80.0,42.0,80.0,2.0,11.0,6.0,25.3,26.86,79.0
2024-02-12,32.77,50.9,36.23,16.04,624.33,84.75,21.55,38.88,12.25,94.0,47.0,94.0,2.0,12.0,0.0,25.73,25.3,80.0
2024-02-13,38.82,64.32,45.88,21.24,752.5,69.0,21.22,45.92,8.33,109.0,56.0,109.0,2.0,13.0,1.0,32.77,25.73,94.0
2024-02-14,43.79,73.55,50.07,20.42,938.88,68.42,21.25,49.88,10.62,121.0,60.0,121.0,2.0,14.0,2.0,38.82,32.77,109.0
2024-02-15,48.2,79.58,51.82,17.63,955.04,71.62,21.35,54.25,10.26,132.0,63.0,132.0,2.0,15.0,3.0,43.79,38.82,121.0
2024-02-16,36.86,60.19,52.72,17.28,863.21,65.12,22.22,39.62,12.48,104.0,54.0,104.0,2.0,16.0,4.0,48.2,43.79,132.0
2024-02-17,30.86,50.01,44.56,15.1,730.0,70.92,21.98,45.96,11.89,90.0,46.0,90.0,2.0,17.0,5.0,36.86,48.2,104.0
2024-02-18,15.05,27.9,13.01,5.4,289.42,86.5,23.08,74.17,21.43,57.0,26.0,57.0,2.0,18.0,6.0,30.86,36.86,90.0
2024-02-19,17.84,44.53,8.98,3.75,254.33,95.42,24.68,75.88,26.52,63.0,41.0,63.0,2.0,19.0,0.0,15.05,30.86,57.0
2024-02-20,20.8,49.03,11.39,4.77,258.17,99.33,23.52,75.08,17.19,69.0,45.0,69.0,2.0,20.0,1.0,17.84,15.05,63.0
2024-02-21,19.73,55.63,13.17,5.02,289.88,105.62,23.39,69.62,18.52,67.0,51.0,67.0,2.0,21.0,2.0,20.8,17.84,69.0
2024-02-22,18.83,68.15,22.14,8.06,372.38,84.75,23.21,40.38,13.46,65.0,58.0,65.0,2.0,22.0,3.0,19.73,20.8,67.0
2024-02-23,29.91,87.19,36.75,14.75,636.75,86.21,20.9,37.46,10.65,88.0,67.0,88.0,2.0,23.0,4.0,18.83,19.73,65.0
2024-02-24,19.2,64.54,17.83,10.09,338.88,98.12,22.33,53.79,10.85,66.0,56.0,66.0,2.0,24.0,5.0,29.91,18.83,88.0
2024-02-25,23.25,53.19,26.48,13.54,478.25,77.5,22.79,39.96,14.12,74.0,49.0,74.0,2.0,25.0,6.0,19.2,29.91,66.0
2024-02-26,21.69,48.69,8.32,10.13,287.08,111.42,23.32,29.42,28.39,71.0,45.0,71.0,2.0,26.0,0.0,23.25,19.2,74.0
2024-02-27,34.83,69.88,8.84,12.44,334.62,106.67,21.46,46.54,30.77,99.0,58.0,99.0,2.0,27.0,1.0,21.69,23.25,71.0
2024-02-28,27.39,62.66,13.59,13.66,386.04,110.58,22.98,41.21,19.01,83.0,55.0,83.0,2.0,28.0,2.0,34.83,21.69,99.0
2024-02-29,23.58,61.84,16.98,13.06,401.92,106.67,24.0,42.5,12.21,75.0,54.0,75.0,2.0,29.0,3.0,27.39,34.83,83.0
2024-03-01,25.38,63.49,21.8,9.03,445.12,88.04,21.35,72.21,10.12,79.0,55.0,79.0,3.0,1.0,4.0,23.58,27.39,75.0
2024-03-02,21.02,83.4,8.91,6.9,240.25,81.08,17.57,50.21,23.12,70.0,65.0,70.0,3.0,2.0,5.0,25.38,23.58,79.0
2024-03-03,33.8,119.99,12.2,10.46,262.25,87.04,16.02,39.17,18.44,97.0,83.0,97.0,3.0,3.0,6.0,21.02,25.38,70.0
2024-03-04,29.39,79.82,21.76,15.63,421.38,83.75,17.46,46.33,10.37,87.0,63.0,87.0,3.0,4.0,0.0,33.8,21.02,97.0
2024-03-05,22.32,46.4,21.36,14.37,403.83,84.42,19.94,28.88,14.65,73.0,43.0,73.0,3.0,5.0,1.0,29.39,33.8,87.0
2024-03-06,21.05,49.43,15.8,15.25,362.21,105.46,20.36,36.75,12.08,70.0,46.0,70.0,3.0,6.0,2.0,22.32,29.39,73.0
2024-03-07,22.35,60.06,16.49,11.32,332.58,98.79,22.52,57.46,12.34,73.0,54.0,73.0,3.0,7.0,3.0,21.05,22.32,70.0
2024-03-08,28.26,56.23,24.43,16.32,487.54,97.79,22.79,48.54,11.72,85.0,52.0,85.0,3.0,8.0,4.0,22.35,21.05,73.0
2024-03-09,32.16,60.36,28.29,16.57,537.12,95.42,23.31,40.33,12.43,93.0,54.0,93.0,3.0,9.0,5.0,28.26,22.35,85.0
2024-03-10,43.98,90.81,34.82,22.89,631.29,84.79,21.76,49.54,10.97,122.0,69.0,122.0,3.0,10.0,6.0,32.16,28.26,93.0
2024-03-11,22.93,56.3,14.85,8.11,326.08,86.75,22.68,70.71,13.68,74.0,52.0,74.0,3.0,11.0,0.0,43.98,32.16,122.0
2024-03-12,18.38,38.7,15.82,8.35,302.5,75.5,23.08,81.79,13.32,64.0,36.0,64.0,3.0,12.0,1.0,22.93,43.98,74.0
2024-03-13,26.13,91.02,11.66,6.1,248.04,84.75,24.91,57.5,20.58,81.0,69.0,81.0,3.0,13.0,2.0,18.38,22.93,64.0
2024-03-14,42.98,130.56,19.52,13.51,358.67,91.08,23.6,29.92,16.99,119.0,88.0,119.0,3.0,14.0,3.0,26.13,18.38,81.0
2024-03-15,24.95,48.15,24.63,10.25,418.54,89.33,24.44,35.71,13.34,78.0,45.0,78.0,3.0,15.0,4.0,42.98,26.13,119.0
2024-03-16,25.85,59.89,22.4,10.0,378.58,92.38,24.94,35.83,14.28,80.0,53.0,80.0,3.0,16.0,5.0,24.95,42.98,78.0
2024-03-17,19.94,48.14,17.95,10.78,338.21,101.67,26.52,28.83,13.63,67.0,45.0,67.0,3.0,17.0,6.0,25.85,24.95,80.0
2024-03-18,22.18,49.19,20.86,12.81,390.0,106.0,26.5,36.5,12.81,72.0,46.0,72.0,3.0,18.0,0.0,19.94,25.85,67.0
2024-03-19,16.65,54.86,18.97,6.98,328.33,76.92,26.62,55.75,15.25,61.0,51.0,61.0,3.0,19.0,1.0,22.18,19.94,72.0
2024-03-20,22.91,72.43,25.68,9.32,440.71,84.79,25.8,66.42,12.43,74.0,60.0,74.0,3.0,20.0,2.0,16.65,22.18,61.0
2024-03-21,25.62,61.34,17.04,5.94,311.04,78.5,26.64,53.21,17.49,79.0,54.0,79.0,3.0,21.0,3.0,22.91,16.65,74.0
2024-03-22,23.92,56.09,11.35,5.11,266.83,90.42,26.3,69.67,21.0,76.0,52.0,76.0,3.0,22.0,4.0,25.62,22.91,79.0
2024-03-23,22.18,71.01,13.12,5.42,253.42,76.38,25.93,80.75,17.54,72.0,59.0,72.0,3.0,23.0,5.0,23.92,25.62,76.0
2024-03-24,20.6,58.06,13.82,4.98,250.54,71.12,26.76,72.83,18.08,69.0,53.0,69.0,3.0,24.0,6.0,22.18,23.92,72.0
2024-03-25,20.29,56.15,18.93,7.57,334.5,84.58,27.08,67.33,15.14,68.0,52.0,68.0,3.0,25.0,0.0,20.6,22.18,69.0
2024-03-26,17.42,40.69,15.37,5.6,287.25,70.29,27.62,66.25,16.51,62.0,38.0,62.0,3.0,26.0,1.0,20.29,20.6,68.0
2024-03-27,19.31,61.43,13.47,5.35,259.88,75.75,26.95,72.96,17.33,66.0,54.0,66.0,3.0,27.0,2.0,17.42,20.29,62.0
2024-03-28,12.39,41.61,14.73,5.5,282.42,105.96,27.69,56.04,19.13,52.0,39.0,52.0,3.0,28.0,3.0,19.31,17.42,66.0
2024-03-29,23.92,78.92,12.92,5.98,275.04,107.04,25.27,67.54,17.58,76.0,63.0,76.0,3.0,29.0,4.0,12.39,19.31,52.0
2024-03-30,30.19,107.82,9.01,4.5,225.25,96.21,25.31,70.92,21.9,89.0,77.0,89.0,3.0,30.0,5.0,23.92,12.39,76.0
2024-03-31,46.72,159.02,16.7,9.88,325.67,105.62,27.09,54.46,13.53,129.0,103.0,129.0,3.0,31.0,6.0,30.19,23.92,89.0
2024-04-01,31.68,96.08,18.25,8.92,334.96,93.33,25.96,61.79,14.42,92.0,71.0,92.0,4.0,1.0,0.0,46.72,30.19,129.0
2024-04-02,22.71,59.82,9.94,5.21,225.46,102.58,26.21,72.08,19.2,73.0,53.0,73.0,4.0,2.0,1.0,31.68,46.72,92.0
2024-04-03,33.3,108.53,11.79,6.62,297.42,126.67,26.12,78.38,17.58,96.0,77.0,96.0,4.0,3.0,2.0,22.71,31.68,73.0
2024-04-04,17.5,56.44,14.14,5.88,282.5,111.12,26.68,67.33,17.67,62.0,52.0,62.0,4.0,4.0,3.0,33.3,22.71,96.0
2024-04-05,17.48,57.01,11.87,5.53,261.25,111.62,27.25,58.12,21.16,62.0,52.0,62.0,4.0,5.0,4.0,17.5,33.3,62.0
2024-04-06,15.3,49.0,12.02,5.76,263.46,119.21,26.71,60.25,19.76,58.0,45.0,58.0,4.0,6.0,5.0,17.48,17.5,62.0
2024-04-07,19.14,51.16,16.92,6.56,306.96,100.12,26.41,75.79,17.11,66.0,47.0,66.0,4.0,7.0,6.0,15.3,17.48,58.0
2024-04-08,19.37,52.28,18.88,6.47,345.21,100.08,27.17,67.92,13.65,66.0,48.0,66.0,4.0,8.0,0.0,19.14,15.3,66.0
2024-04-09,13.9,33.46,17.17,5.73,312.83,84.04,27.86,56.58,17.54,55.0,31.0,55.0,4.0,9.0,1.0,19.37,19.14,66.0
2024-04-10,17.08,40.63,14.92,6.13,265.75,61.21,26.57,76.04,16.08,61.0,38.0,61.0,4.0,10.0,2.0,13.9,19.37,55.0
2024-04-11,17.78,45.78,17.46,6.6,289.21,79.33,26.25,80.21,12.15,63.0,42.0,63.0,4.0,11.0,3.0,17.08,13.9,61.0
2024-04-12,13.38,35.54,15.1,6.38,260.79,69.88,26.95,76.71,16.99,54.0,33.0,54.0,4.0,12.0,4.0,17.78,17.08,63.0
2024-04-13,14.41,45.93,13.42,5.42,225.42,61.04,27.88,77.62,14.63,56.0,43.0,56.0,4.0,13.0,5.0,13.38,17.78,54.0
2024-04-14,25.63,111.98,21.41,14.49,291.71,51.83,26.58,80.5,7.53,79.0,79.0,79.0,4.0,14.0,6.0,14.41,13.38,56.0
2024-04-15,22.35,73.21,19.06,8.47,314.21,57.71,26.36,75.92,10.99,73.0,60.0,73.0,4.0,15.0,0.0,25.63,14.41,79.0
2024-04-16,21.68,72.06,17.06,14.82,288.12,71.12,28.07,73.0,12.61,71.0,59.0,71.0,4.0,16.0,1.0,22.35,25.63,73.0
2024-04-17,24.6,62.84,20.37,14.2,349.04,83.12,28.84,56.54,10.53,77.0,55.0,77.0,4.0,17.0,2.0,21.68,22.35,71.0
2024-04-18,22.79,86.12,9.66,5.31,189.96,63.92,27.2,78.08,18.28,73.0,66.0,73.0,4.0,18.0,3.0,24.6,21.68,77.0
2024-04-19,25.62,57.39,6.31,3.92,206.71,113.21,26.68,70.67,26.15,79.0,52.0,79.0,4.0,19.0,4.0,22.79,24.6,73.0
2024-04-20,21.69,48.68,8.25,4.58,231.42,111.21,27.74,66.12,21.3,71.0,45.0,71.0,4.0,20.0,5.0,25.62,22.79,79.0
2024-04-21,23.31,54.32,9.19,4.79,233.71,98.92,27.5,71.62,21.79,75.0,51.0,75.0,4.0,21.0,6.0,21.69,25.62,71.0
2024-04-22,20.46,57.55,8.47,4.09,196.04,70.5,27.53,75.54,23.85,69.0,52.0,69.0,4.0,22.0,0.0,23.31,21.69,75.0
2024-04-23,19.8,56.55,9.14,4.52,201.42,78.79,27.31,78.67,19.8,67.0,52.0,67.0,4.0,23.0,1.0,20.46,23.31,69.0
2024-04-24,19.32,51.11,10.2,5.12,216.96,72.79,27.31,78.25,18.34,66.0,47.0,66.0,4.0,24.0,2.0,19.8,20.46,67.0
2024-04-25,16.59,46.14,11.09,4.7,216.21,67.75,27.38,79.08,21.09,60.0,43.0,60.0,4.0,25.0,3.0,19.32,19.8,66.0
2024-04-26,16.82,65.68,8.03,4.22,200.08,77.12,28.08,75.12,23.05,61.0,56.0,61.0,4.0,26.0,4.0,16.59,19.32,60.0
2024-04-27,15.91,60.03,10.24,4.81,219.83,75.92,27.74,76.58,19.07,59.0,53.0,59.0,4.0,27.0,5.0,16.82,16.59,61.0
2024-04-28,18.02,66.27,11.41,6.21,225.25,77.79,28.41,74.79,20.12,63.0,57.0,63.0,4.0,28.0,6.0,15.91,16.82,59.0
2024-04-29,26.88,118.33,13.52,6.3,259.79,90.0,30.62,41.92,20.31,82.0,82.0,82.0,4.0,29.0,0.0,18.02,15.91,63.0
2024-04-30,30.21,127.33,12.13,6.57,255.67,102.29,30.72,36.62,21.78,89.0,87.0,89.0,4.0,30.0,1.0,26.88,18.02,82.0
2024-05-01,35.11,146.83,13.22,9.28,257.62,100.46,29.62,20.92,20.24,99.0,96.0,99.0,5.0,1.0,2.0,30.21,26.88,89.0
2024-05-02,38.18,114.87,17.26,11.54,325.38,108.21,28.76,55.12,14.73,108.0,81.0,108.0,5.0,2.0,3.0,35.11,30.21,99.0
2024-05-03,17.51,52.98,11.58,5.72,231.08,62.0,29.05,70.92,21.97,62.0,49.0,62.0,5.0,3.0,4.0,38.18,35.11,108.0
